blink_rate_per_min,ear_mean,ear_std,gaze_x_mean,gaze_x_std,gaze_y_mean,gaze_y_std,gaze_variance,yaw_mean,yaw_range,pitch_mean,pitch_range,head_movement,emotion_neutral,emotion_focused,emotion_confused,emotion_stressed,emotion_bored,label
15.914151,0.3254019,0.008801353,0.44986778,0.033037424,0.49205685,0.034259222,0.043666612,-2.3450115,7.6749535,-2.7089286,3.1061487,15.362073,0.39727795,0.2775098,0.25147915,0.045317996,0.028415084,0
11.880048,0.32823944,0.00918587,0.5101282,0.0468757,0.48744845,0.03248394,0.06309606,0.0917214,4.133155,1.2607135,8.876096,13.139628,0.106485546,0.8634523,0.0017295032,0.020249644,0.008082984,0
17.251354,0.3571899,0.009940295,0.53580874,0.041024666,0.5243528,0.033336025,0.0505778,-3.1590493,3.205227,0.73095244,5.1036897,9.988204,0.22846837,0.47498927,0.001393831,0.03814455,0.25700396,0
17.821693,0.32937106,0.00803277,0.51093286,0.01939846,0.4966229,0.04236343,0.07738599,-1.8070236,5.380425,3.344758,2.0,5.171068,0.60270166,0.3911596,0.005643632,0.00014655718,0.00034856636,0
9.146894,0.33315775,0.012073188,0.58955324,0.03795721,0.4726728,0.042158294,0.021280905,7.3575025,6.1204724,3.9118378,5.65548,7.0325346,0.12138006,0.7539181,0.09183825,0.025959477,0.006904086,0
11.093461,0.37421492,0.014307935,0.5571915,0.038923733,0.49483445,0.025490431,0.06150023,4.4160957,3.5184882,-10.0,7.4123435,15.167441,0.6785648,0.28485602,0.021069968,0.00069083256,0.014818404,0
15.383521,0.3157239,0.008606859,0.48769888,0.033149675,0.5154435,0.031940173,0.042418055,-2.7433107,3.2244928,-7.7744823,5.3128695,9.9552765,0.26949552,0.65410405,0.055523288,5.6648798e-08,0.0208771,0
14.051272,0.30404234,0.011455595,0.4872789,0.041314244,0.46448836,0.01135898,0.051807284,-1.8782661,6.3645954,-10.0,3.196813,10.784528,0.6238826,0.1612947,0.04638,0.1684326,1.0133121e-05,0
14.949596,0.32855594,0.009281148,0.51878786,0.03188074,0.450613,0.03099093,0.06609253,-5.108016,4.484439,-0.47227836,3.0178514,11.850605,0.06309524,0.81422764,0.06495512,0.057712067,9.944391e-06,0
12.440868,0.32877982,0.011096462,0.46647924,0.032004677,0.55978227,0.022060106,0.03765384,2.8199751,3.0949767,-5.772327,3.1653621,7.091483,0.4460334,0.30567586,0.20449053,0.0013696019,0.042430624,0
17.638193,0.3094657,0.014697338,0.54665154,0.031212406,0.4807272,0.028136175,0.06328464,-0.9989698,7.9306827,-4.9567213,8.043316,12.22187,0.44170693,0.5581362,2.4786019e-05,6.087999e-06,0.00012598642,0
17.333376,0.29935205,0.011525978,0.514464,0.009817559,0.4958794,0.013146281,0.055753235,-7.8658657,4.7364106,-3.8663898,4.856672,9.741154,0.53458273,0.2581157,0.007054754,0.20011365,0.000133161,0
15.198092,0.3661969,0.0046797562,0.5102584,0.029196016,0.48806614,0.03404872,0.046788264,0.40313438,8.2996235,-1.4697173,2.0,11.881108,0.20707542,0.38284805,0.048332885,0.008059992,0.35368365,0
18.381723,0.32653686,0.011361987,0.52747816,0.023317493,0.51644266,0.013034313,0.050588552,1.7559155,6.0569415,-8.941284,5.7682676,9.265847,0.5475471,0.31562257,0.06795483,0.068002045,0.0008734319,0
16.402529,0.3053543,0.013698591,0.5689132,0.01813552,0.5531837,0.031482846,0.05690896,3.8525639,6.5895176,-8.035454,5.2820735,6.280652,0.5306696,0.21435471,0.0028353373,0.24063274,0.01150755,0
12.422123,0.33831862,0.0093352115,0.5068382,0.044340182,0.517398,0.017734945,0.044643268,-0.29341918,5.5770006,-2.994815,4.102209,9.717882,0.5628876,0.36507827,0.05729396,0.004642545,0.010097597,0
16.106253,0.3178171,0.012986904,0.4954784,0.035042074,0.45444906,0.02150359,0.06014189,-1.4906846,2.0,1.7949837,2.9591866,12.922333,0.49598956,0.35459474,8.229183e-05,0.0005964463,0.14873695,0
12.123352,0.31494236,0.007929653,0.5603488,0.02970169,0.4584763,0.04154732,0.054436468,7.945059,3.726427,-3.1015897,2.8722103,12.18218,0.50290847,0.24401207,0.006127135,0.0004646427,0.24648769,0
17.635351,0.33124545,0.0055433824,0.538702,0.024351966,0.48803106,0.03587918,0.04777435,0.026344625,5.748581,-6.166639,7.173268,11.0927925,0.65989333,0.2260068,0.103843875,0.010255233,7.538651e-07,0
14.850223,0.29416236,0.010423507,0.4871608,0.032961696,0.49195302,0.04149203,0.091796845,2.8782473,6.7294583,-10.0,5.4950256,13.694396,0.31998986,0.41302884,0.24008174,3.4992958e-05,0.026864553,0
14.445413,0.32705253,0.0047305697,0.5002075,0.039914362,0.44834146,0.04559727,0.0683048,-2.1581585,2.420652,0.8107023,5.9572873,10.389218,0.724502,0.27099705,0.00185796,0.0005926611,0.0020502748,0
12.9572115,0.35825908,0.009280687,0.50781524,0.021730341,0.52458024,0.022271613,0.052345756,2.7596385,5.8927965,-5.9437265,5.4895177,11.168829,0.41121158,0.46625176,0.0010954068,0.046755612,0.07468564,0
18.667624,0.32932356,0.0138605265,0.51447254,0.029951716,0.4674104,0.044989716,0.06291721,-5.822516,3.7554717,-7.5897474,5.6553774,9.560699,0.43014982,0.52103996,0.04325625,0.005551439,2.5196357e-06,0
14.536411,0.31247577,0.0042707114,0.44573602,0.038680665,0.54479903,0.015344944,0.0394636,-1.8482702,6.46924,-9.8613,4.0632105,13.869854,0.31810138,0.3057939,0.22085446,0.00041985497,0.1548304,0
13.715016,0.3098579,0.0061615095,0.4383006,0.010639989,0.55461895,0.037461005,0.05126457,-4.833097,5.9611983,-8.756403,4.588341,11.874586,0.55357206,0.43499315,0.0006608108,0.00033150945,0.010442506,0
13.9436,0.3117932,0.006903903,0.4645044,0.029424302,0.4925524,0.025066623,0.053598452,-2.4198933,7.4870033,-6.8448567,7.3298235,9.329125,0.06784031,0.69554335,0.023921078,0.21267411,2.114507e-05,0
16.596928,0.31492075,0.009810041,0.46141046,0.025707087,0.51316917,0.020696998,0.035064124,5.00188,8.133646,-3.955395,7.8291802,6.532911,0.81876385,0.045143545,4.00833e-05,8.141685e-06,0.13604438,0
16.096333,0.31244388,0.00890285,0.47424704,0.028661702,0.46304157,0.0361447,0.06774708,-2.4493036,6.9179797,-7.8349667,2.555816,14.314884,0.2385895,0.12915598,0.11870588,0.00041142153,0.5131372,0
16.238197,0.33832622,0.014197409,0.5253884,0.024983715,0.5187103,0.039449517,0.049887747,2.8730245,7.720787,-2.2571678,4.5834823,8.767805,0.92891496,0.053231817,0.009174582,0.008144349,0.00053427706,0
16.292463,0.2853358,0.012863045,0.49324283,0.031376246,0.48505422,0.039152686,0.052890666,6.069061,5.299315,-3.985791,6.6785707,11.216193,0.48602822,0.44521138,0.00049693853,0.0059775356,0.062285945,0
